2020-02-18 17:34:36 INFO  DriverControllerBase:379 - Recuperando URL primer IFrame
2020-02-18 17:34:36 INFO  DriverControllerBase:391 - Cargando URL [https://tvc4.forexpros.com/init.php?family_prefix=tvc4&carrier=ee8c52caf8acaad5c0ae1a362ece3af6&time=1582043692&domain_ID=4&lang_ID=4&timezone_ID=58&pair_ID=320&interval=86400&refresh=30&session=session&client=&user=guest&width=650&height=750&init_page=instrument&m_pids=&watchlist=&site=https://es.investing.com] 
2020-02-18 17:34:37 INFO  DriverControllerBase:394 - Recuperando URL segundo IFrame
2020-02-18 17:34:37 INFO  DriverControllerBase:398 - Cargando URL [https://tvc-invdn-com.akamaized.net/web/1.12.27/index57-prod.html?carrier=ee8c52caf8acaad5c0ae1a362ece3af6&time=1582043692&domain_ID=4&lang_ID=4&timezone_ID=58&version=1.12.27&locale=es&timezone=Europe/Madrid&pair_ID=320&interval=M&session=session&prefix=es&suffix=&client=0&user=guest&family_prefix=tvc4&init_page=instrument&sock_srv=https://stream49.forexpros.com:443&m_pids=&watchlist=&geoc=ES] 
2020-02-18 17:34:37 INFO  DriverControllerBase:401 - Esperando gráfico en tercer IFrame
2020-02-18 17:34:38 INFO  DriverControllerBase:405 - Buscando botonera tipo gráfico
2020-02-18 17:34:38 INFO  DriverControllerBase:415 - Seleccionando gráfico de velas
2020-02-18 17:34:38 INFO  DriverControllerBase:419 - Buscando botonera escala gráfico
2020-02-18 17:34:38 INFO  DriverControllerBase:427 - Seleccionando escala logarítmica
2020-02-18 17:34:38 INFO  DriverControllerBase:433 - Esperamos 500 milisegundos
2020-02-18 17:34:39 INFO  DriverControllerBase:481 - Generando screenshot --> Switzerland;Tecnológico;Instrumentos electrónicos y controles;ABB Ltd (ABBN);3,36;50,8;56,75;1,85;1,44;120,31;32,71;3,89;3,06;6,01;11,37;6,24%;-8,4%;-37,15%;-25,05%;-11,16%;-4%;-2,86%;-6,79%;4,56%;-9,88%;-7,95%;2,23%;1,12;1,2;1,36;1,55;58,97%;40,49%;73,26%;51,12%;-;3,53%;3,44%;3,53%;3,34%;0,06%;191,03%;70,25;https://es.investing.com/equities/abb-ltd
2020-02-18 17:34:39 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/abm-industries-inc] 
2020-02-18 17:34:41 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:34:41 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:34:41 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:34:41 INFO  DriverControllerBase:158 - Buscando Dividendo
2020-02-18 17:34:42 INFO  DriverControllerBase:183 - No se obtiene el chart de [ABM Industries Incorporated (ABM)] [https://es.investing.com/equities/abm-industries-inc] porque la RPD [1.89] es menor que la RPD mínima [3.0] 
2020-02-18 17:34:42 INFO  DriverControllerBase:184 - NO screenshot --> ABM Industries Incorporated (ABM);https://es.investing.com/equities/abm-industries-inc;-;1.89;-
2020-02-18 17:34:42 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/assa-abloy] 
2020-02-18 17:34:43 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:34:43 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:34:44 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:34:45 INFO  DriverControllerBase:158 - Buscando Dividendo
2020-02-18 17:34:45 INFO  DriverControllerBase:183 - No se obtiene el chart de [ASSA ABLOY AB ser. B (ASSAb)] [https://es.investing.com/equities/assa-abloy] porque la RPD [1.58] es menor que la RPD mínima [3.0] 
2020-02-18 17:34:45 INFO  DriverControllerBase:184 - NO screenshot --> ASSA ABLOY AB ser. B (ASSAb);https://es.investing.com/equities/assa-abloy;-;1.58;-
2020-02-18 17:34:45 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/at-t] 
2020-02-18 17:35:17 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:35:17 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:35:17 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:35:17 INFO  DriverControllerBase:158 - Buscando Dividendo
2020-02-18 17:35:18 INFO  DriverControllerBase:202 - Buscando sector e industria
2020-02-18 17:35:18 INFO  DriverControllerBase:219 - Buscando PER
2020-02-18 17:35:18 INFO  DriverControllerBase:236 - Accediendo a ratios
2020-02-18 17:35:44 INFO  DriverControllerBase:376 - Accediendo gráfico técnico
2020-02-18 17:35:48 INFO  DriverControllerBase:379 - Recuperando URL primer IFrame
2020-02-18 17:35:48 INFO  DriverControllerBase:391 - Cargando URL [https://tvc4.forexpros.com/init.php?family_prefix=tvc4&carrier=a5c4ec3112327b2baf9de3f3765d9fa1&time=1582043763&domain_ID=4&lang_ID=4&timezone_ID=58&pair_ID=244&interval=86400&refresh=6&session=session&client=&user=guest&width=650&height=750&init_page=instrument&m_pids=&watchlist=&site=https://es.investing.com] 
2020-02-18 17:35:49 INFO  DriverControllerBase:394 - Recuperando URL segundo IFrame
2020-02-18 17:35:49 INFO  DriverControllerBase:398 - Cargando URL [https://tvc-invdn-com.akamaized.net/web/1.12.27/index57-prod.html?carrier=a5c4ec3112327b2baf9de3f3765d9fa1&time=1582043763&domain_ID=4&lang_ID=4&timezone_ID=58&version=1.12.27&locale=es&timezone=Europe/Madrid&pair_ID=244&interval=M&session=session&prefix=es&suffix=&client=0&user=guest&family_prefix=tvc4&init_page=instrument&sock_srv=https://stream239.forexpros.com:443&m_pids=&watchlist=&geoc=ES] 
2020-02-18 17:35:50 INFO  DriverControllerBase:401 - Esperando gráfico en tercer IFrame
2020-02-18 17:35:50 INFO  DriverControllerBase:405 - Buscando botonera tipo gráfico
2020-02-18 17:35:50 INFO  DriverControllerBase:415 - Seleccionando gráfico de velas
2020-02-18 17:35:51 INFO  DriverControllerBase:419 - Buscando botonera escala gráfico
2020-02-18 17:35:51 INFO  DriverControllerBase:427 - Seleccionando escala logarítmica
2020-02-18 17:35:51 INFO  DriverControllerBase:433 - Esperamos 500 milisegundos
2020-02-18 17:35:52 INFO  DriverControllerBase:481 - Generando screenshot --> USA;Servicios;Servicios de comunicación;AT&T Inc (T);5,43;278,76;20,15;1,54;1,91;19,48;55,41;1,52;3,4;25,22;19,19;-41,62%;-12,45%;-31,51%;-126,62%;8,88%;5,12%;-2,44%;6,73%;6,11%;5,61%;6,47%;6,12%;-;1;0,8;1,02;82,35%;145,46%;88,56%;160,44%;5,44%;4,24%;5,34%;5,49%;2,04%;15,3%;80,78%;121,99;https://es.investing.com/equities/at-t
2020-02-18 17:35:52 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/axa] 
2020-02-18 17:36:24 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:36:24 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:36:25 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:36:25 INFO  DriverControllerBase:158 - Buscando Dividendo
2020-02-18 17:36:25 INFO  DriverControllerBase:202 - Buscando sector e industria
2020-02-18 17:36:25 INFO  DriverControllerBase:219 - Buscando PER
2020-02-18 17:36:26 INFO  DriverControllerBase:236 - Accediendo a ratios
2020-02-18 17:36:48 INFO  DriverControllerBase:376 - Accediendo gráfico técnico
2020-02-18 17:37:20 INFO  DriverControllerBase:379 - Recuperando URL primer IFrame
2020-02-18 17:37:20 INFO  DriverControllerBase:391 - Cargando URL [https://tvc4.forexpros.com/init.php?family_prefix=tvc4&carrier=40efcba8dc13980c681e6d03d4ee103d&time=1582043827&domain_ID=4&lang_ID=4&timezone_ID=58&pair_ID=393&interval=86400&refresh=6&session=session&client=&user=guest&width=650&height=750&init_page=instrument&m_pids=&watchlist=&site=https://es.investing.com] 
2020-02-18 17:37:21 INFO  DriverControllerBase:394 - Recuperando URL segundo IFrame
2020-02-18 17:37:21 INFO  DriverControllerBase:398 - Cargando URL [https://tvc-invdn-com.akamaized.net/web/1.12.27/index57-prod.html?carrier=40efcba8dc13980c681e6d03d4ee103d&time=1582043827&domain_ID=4&lang_ID=4&timezone_ID=58&version=1.12.27&locale=es&timezone=Europe/Madrid&pair_ID=393&interval=M&session=session&prefix=es&suffix=&client=0&user=guest&family_prefix=tvc4&init_page=instrument&sock_srv=https://stream257.forexpros.com:443&m_pids=&watchlist=&geoc=ES] 
2020-02-18 17:37:22 INFO  DriverControllerBase:401 - Esperando gráfico en tercer IFrame
2020-02-18 17:37:22 INFO  DriverControllerBase:405 - Buscando botonera tipo gráfico
2020-02-18 17:37:22 INFO  DriverControllerBase:415 - Seleccionando gráfico de velas
2020-02-18 17:37:23 INFO  DriverControllerBase:419 - Buscando botonera escala gráfico
2020-02-18 17:37:23 INFO  DriverControllerBase:427 - Seleccionando escala logarítmica
2020-02-18 17:37:23 INFO  DriverControllerBase:433 - Esperamos 500 milisegundos
2020-02-18 17:37:23 INFO  DriverControllerBase:481 - Generando screenshot --> France;Financiero;Seguros (vida);AXA SA (AXAF);5,23;60,24;41,17;0,49;0,47;16,41;3,62;0,91;0,79;28,11;28,06;-27,27%;28,2%;-74,73%;12,02%;-11,23%;16,68%;30,32%;-13,64%;1,25%;-4,01%;-3,04%;-0,73%;-;-;-;-;26,21%;12,11%;26,21%;12,11%;-;4,95%;5,19%;4,85%;6,8%;15,17%;219,97%;50,34;https://es.investing.com/equities/axa
2020-02-18 17:37:24 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/abbvie-inc] 
2020-02-18 17:37:27 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:37:27 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:37:27 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:37:28 INFO  DriverControllerBase:158 - Buscando Dividendo
2020-02-18 17:37:28 INFO  DriverControllerBase:202 - Buscando sector e industria
2020-02-18 17:37:28 INFO  DriverControllerBase:219 - Buscando PER
2020-02-18 17:37:28 INFO  DriverControllerBase:236 - Accediendo a ratios
2020-02-18 17:38:21 INFO  DriverControllerBase:376 - Accediendo gráfico técnico
2020-02-18 17:38:24 INFO  DriverControllerBase:379 - Recuperando URL primer IFrame
2020-02-18 17:38:24 INFO  DriverControllerBase:391 - Cargando URL [https://tvc4.forexpros.com/init.php?family_prefix=tvc4&carrier=79dbbfb1324af2cd78bd6d532ef0ca5f&time=1582043920&domain_ID=4&lang_ID=4&timezone_ID=58&pair_ID=40041&interval=86400&refresh=16&session=session&client=&user=guest&width=650&height=750&init_page=instrument&m_pids=&watchlist=&site=https://es.investing.com] 
2020-02-18 17:38:24 INFO  DriverControllerBase:394 - Recuperando URL segundo IFrame
2020-02-18 17:38:24 INFO  DriverControllerBase:398 - Cargando URL [https://tvc-invdn-com.akamaized.net/web/1.12.27/index57-prod.html?carrier=79dbbfb1324af2cd78bd6d532ef0ca5f&time=1582043920&domain_ID=4&lang_ID=4&timezone_ID=58&version=1.12.27&locale=es&timezone=Europe/Madrid&pair_ID=40041&interval=M&session=session&prefix=es&suffix=&client=0&user=guest&family_prefix=tvc4&init_page=instrument&sock_srv=https://stream348.forexpros.com:443&m_pids=&watchlist=&geoc=ES] 
2020-02-18 17:38:25 INFO  DriverControllerBase:401 - Esperando gráfico en tercer IFrame
2020-02-18 17:38:25 INFO  DriverControllerBase:405 - Buscando botonera tipo gráfico
2020-02-18 17:38:25 INFO  DriverControllerBase:415 - Seleccionando gráfico de velas
2020-02-18 17:38:26 INFO  DriverControllerBase:419 - Buscando botonera escala gráfico
2020-02-18 17:38:26 INFO  DriverControllerBase:427 - Seleccionando escala logarítmica
2020-02-18 17:38:26 INFO  DriverControllerBase:433 - Esperamos 500 milisegundos
2020-02-18 17:38:27 INFO  DriverControllerBase:481 - Generando screenshot --> USA;Salud;Biotecnología y medicamentos;AbbVie Inc (ABBV);4,95;138,38;42,11;4,23;83,57;19,29;53,58;-;7,88;-5,56;29,2;-30%;-1,52%;-56,02%;-0,57%;7,62%;9,96%;2,95%;-1,75%;2,11%;19,33%;11,75%;9,66%;1,04;2,06;1,15;2,73;-;92,59%;-;100,45%;5,02%;2,69%;3,22%;2,43%;21,13%;7,98%;298,7%;56,23;https://es.investing.com/equities/abbvie-inc
2020-02-18 17:38:27 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/abbott-laboratories] 
2020-02-18 17:38:59 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:38:59 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:38:59 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:39:00 INFO  DriverControllerBase:158 - Buscando Dividendo
2020-02-18 17:39:00 INFO  DriverControllerBase:183 - No se obtiene el chart de [Abbott Laboratories (ABT)] [https://es.investing.com/equities/abbott-laboratories] porque la RPD [1.62] es menor que la RPD mínima [3.0] 
2020-02-18 17:39:00 INFO  DriverControllerBase:184 - NO screenshot --> Abbott Laboratories (ABT);https://es.investing.com/equities/abbott-laboratories;-;1.62;-
2020-02-18 17:39:00 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/accor] 
2020-02-18 17:39:03 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:39:03 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:39:03 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:39:03 INFO  DriverControllerBase:158 - Buscando Dividendo
2020-02-18 17:39:03 INFO  DriverControllerBase:183 - No se obtiene el chart de [Accor SA (ACCP)] [https://es.investing.com/equities/accor] porque la RPD [2.84] es menor que la RPD mínima [3.0] 
2020-02-18 17:39:03 INFO  DriverControllerBase:184 - NO screenshot --> Accor SA (ACCP);https://es.investing.com/equities/accor;-;2.84;-
2020-02-18 17:39:03 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/ackermans-v.haar] 
2020-02-18 17:39:06 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:39:06 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:39:06 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:39:07 INFO  DriverControllerBase:158 - Buscando Dividendo
2020-02-18 17:39:07 INFO  DriverControllerBase:183 - No se obtiene el chart de [Ackermans & Van Haaren NV (ACKB)] [https://es.investing.com/equities/ackermans-v.haar] porque la RPD [1.1] es menor que la RPD mínima [3.0] 
2020-02-18 17:39:07 INFO  DriverControllerBase:184 - NO screenshot --> Ackermans & Van Haaren NV (ACKB);https://es.investing.com/equities/ackermans-v.haar;-;1.1;-
2020-02-18 17:39:07 INFO  DriverControllerBase:59 - Cargando URL [https://es.investing.com/equities/aflac-inc] 
2020-02-18 17:39:10 INFO  DriverControllerBase:62 - Buscando nombre de empresa
2020-02-18 17:39:10 INFO  DriverControllerBase:69 - Buscando Nacionalidad
2020-02-18 17:39:10 INFO  DriverControllerBase:104 - Buscando Capitalización
2020-02-18 17:39:10 INFO  DriverControllerBase:158 - Buscando Dividendo
